id,name,region,country,category,instagram_handle,instagram_followers_estimate,gender,eyewear_affinity,lenskart_relevance,notes
39,Kriti Sanon,India,India,Bollywood Actor,kritisanon,60000000,F,medium,collab_candidate,
40,Shraddha Kapoor,India,India,Bollywood Actor,shraddhakapoor,90000000,F,medium,collab_candidate,
41,Sonam Kapoor,India,India,Bollywood Actor,sonamkapoor,35000000,F,high,collab_candidate,"Fashion icon, wears statement eyewear"
42,Taapsee Pannu,India,India,Bollywood Actor,taapsee,23000000,F,medium,collab_candidate,
43,Bhumi Pednekar,India,India,Bollywood Actor,bhumipednekar,20000000,F,medium,collab_candidate,
44,Parineeti Chopra,India,India,Bollywood Actor,parineetichopra,30000000,F,medium,collab_candidate,
45,Sonakshi Sinha,India,India,Bollywood Actor,aslisona,25000000,F,medium,watch_only,
46,Jacqueline Fernandez,India,India,Bollywood Actor,jacquelinef143,65000000,F,medium,collab_candidate,
47,Nora Fatehi,India,India,Bollywood Actor,norafatehi,45000000,F,medium,collab_candidate,
48,Disha Patani,India,India,Bollywood Actor,dishapatani,60000000,F,medium,collab_candidate,
49,Preity Zinta,India,India,Bollywood Actor,realpz,6000000,F,medium,watch_only,
50,Rekha,India,India,Bollywood Actor,,,F,high,style_influence,"Classic Bollywood icon, signature glasses"
51,Madhuri Dixit,India,India,Bollywood Actor,madhuridixitnene,20000000,F,medium,collab_candidate,
52,Juhi Chawla,India,India,Bollywood Actor,iamjuhichawla,3000000,F,low,watch_only,
53,Tamannaah Bhatia,India,India,Bollywood Actor,tamannaahspeaks,40000000,F,high,collab_candidate,Wears stylish sunglasses
54,Rashmika Mandanna,India,India,Bollywood Actor,rashmika_mandanna,50000000,F,medium,collab_candidate,National crush India
55,Samantha Ruth Prabhu,India,India,Bollywood Actor,samantharuthprabhuoffl,35000000,F,medium,collab_candidate,
56,Pooja Hegde,India,India,Bollywood Actor,poojahegde,28000000,F,medium,collab_candidate,
57,Mrunal Thakur,India,India,Bollywood Actor,mrunalthakur,14000000,F,medium,collab_candidate,
58,Shilpa Shetty,India,India,Bollywood Actor,theshilpashetty,32000000,F,medium,collab_candidate,
59,Sushmita Sen,India,India,Bollywood Actor,sushmitasen47,16000000,F,high,collab_candidate,Wears bold shades
60,Aishwarya Rai,India,India,Bollywood Actor,aishwaryaraibachchan_arb,12000000,F,high,collab_candidate,Cannes eyewear iconic looks
61,Konkona Sen Sharma,India,India,Bollywood Actor,,,F,medium,watch_only,
62,Vidya Balan,India,India,Bollywood Actor,balanvidya,4000000,F,low,watch_only,
63,Huma Qureshi,India,India,Bollywood Actor,iamhumaq,8000000,F,medium,watch_only,
64,Kalki Koechlin,India,India,Bollywood Actor,kalkikanmani,2000000,F,high,collab_candidate,"Glasses wearer, artsy style"
65,Diana Penty,India,India,Bollywood Actor,dianapenty,7000000,F,medium,watch_only,
66,Radhika Apte,India,India,Bollywood Actor,radhikaapte,1500000,F,medium,watch_only,
67,Richa Chadha,India,India,Bollywood Actor,therichachadha,3000000,F,medium,watch_only,
68,Swara Bhaskar,India,India,Bollywood Actor,,,F,low,watch_only,
69,Yami Gautam,India,India,Bollywood Actor,yamigautam,20000000,F,medium,watch_only,
70,Ananya Panday,India,India,Bollywood Actor,ananyapanday,28000000,F,medium,collab_candidate,
71,Palak Tiwari,India,India,Bollywood Actor,palaktiwarii,1500000,F,medium,watch_only,
72,Shanaya Kapoor,India,India,Bollywood Actor,shanayakapoor02,3000000,F,medium,watch_only,
73,Khushi Kapoor,India,India,Bollywood Actor,khushikapoor,1000000,F,medium,watch_only,
74,Ibrahim Ali Khan,India,India,Bollywood Actor,ibrahimalikhaan,800000,M,medium,watch_only,
75,Suhana Khan,India,India,Bollywood Actor,suhanakhan2,3000000,F,medium,watch_only,
76,Agastya Nanda,India,India,Bollywood Actor,agastya_nanda,1000000,M,medium,watch_only,
77,Suniel Shetty,India,India,Bollywood Actor,suniel.shetty,8000000,M,medium,watch_only,
78,Jackie Shroff,India,India,Bollywood Actor,,,M,low,watch_only,
79,Dharmendra,India,India,Bollywood Actor,,,M,low,watch_only,
80,Naseeruddin Shah,India,India,Bollywood Actor,,,M,low,watch_only,
81,Om Puri,India,India,Bollywood Actor,,,M,low,watch_only,Legacy
82,Paresh Rawal,India,India,Bollywood Actor,,,M,low,watch_only,
83,Anupam Kher,India,India,Bollywood Actor,anupampkher,8000000,M,medium,watch_only,
84,Boman Irani,India,India,Bollywood Actor,bomanirani,4000000,M,low,watch_only,
85,Arjun Kapoor,India,India,Bollywood Actor,arjunkapoor,27000000,M,medium,watch_only,
86,Kunal Kapoor,India,India,Bollywood Actor,,,M,low,watch_only,
87,Jackky Bhagnani,India,India,Bollywood Actor,jackkybhagnani,1000000,M,medium,watch_only,
88,Randeep Hooda,India,India,Bollywood Actor,randeephooda,9000000,M,medium,watch_only,
89,Amit Sadh,India,India,Bollywood Actor,,,M,low,watch_only,
90,Sonu Sood,India,India,Bollywood Actor,sonu_sood,25000000,M,low,watch_only,
91,Prabhu Deva,India,India,Bollywood Actor,,,M,low,watch_only,
92,Kay Kay Menon,India,India,Bollywood Actor,,,M,low,watch_only,
93,Arshad Warsi,India,India,Bollywood Actor,,,M,low,watch_only,
94,Jimmy Sheirgill,India,India,Bollywood Actor,,,M,low,watch_only,
95,Vivek Oberoi,India,India,Bollywood Actor,,,M,low,watch_only,
96,Fardeen Khan,India,India,Bollywood Actor,,,M,medium,watch_only,
97,Zayed Khan,India,India,Bollywood Actor,,,M,low,watch_only,
98,Riteish Deshmukh,India,India,Bollywood Actor,riteishd,20000000,M,medium,watch_only,
99,Genelia D'Souza,India,India,Bollywood Actor,geneliad,12000000,F,medium,watch_only,
100,Lara Dutta,India,India,Bollywood Actor,larabhupathi,6000000,F,medium,watch_only,
101,Bipasha Basu,India,India,Bollywood Actor,bipashabasu,10000000,F,medium,watch_only,
102,Esha Gupta,India,India,Bollywood Actor,egupta,7000000,F,medium,watch_only,
103,Aditi Rao Hydari,India,India,Bollywood Actor,aditiraohydari,13000000,F,high,collab_candidate,"Stylish, wears glasses"
104,Sobhita Dhulipala,India,India,Bollywood Actor,sobhitad,3000000,F,high,collab_candidate,Wears stylish eyewear
105,Raashii Khanna,India,India,Bollywood Actor,raashiikhanna,9000000,F,medium,watch_only,
106,Divyanka Tripathi,India,India,Bollywood Actor,divyankatripathidahiya,16000000,F,medium,watch_only,TV actress
107,Jennifer Winget,India,India,Bollywood Actor,jenniferwinget1,14000000,F,medium,watch_only,TV actress
108,Hina Khan,India,India,Bollywood Actor,realhinakhan,17000000,F,medium,watch_only,TV actress
109,Nia Sharma,India,India,Bollywood Actor,niasharma90,9000000,F,medium,watch_only,TV actress
110,Krystle D'Souza,India,India,Bollywood Actor,krystledsouza,4000000,F,medium,watch_only,TV actress
111,Gauahar Khan,India,India,Bollywood Actor,gauaharkhan,6000000,F,medium,watch_only,
112,Mouni Roy,India,India,Bollywood Actor,imouniroy,22000000,F,medium,collab_candidate,
113,Karishma Kapoor,India,India,Bollywood Actor,therealkarismakapoor,12000000,F,medium,collab_candidate,
114,Sridevi,India,India,Bollywood Actor,,,F,high,style_influence,"Iconic actress, legacy"
115,Madhoo,India,India,Bollywood Actor,,,F,low,watch_only,
116,Revathy,India,India,Bollywood Actor,,,F,low,watch_only,
117,Nandita Das,India,India,Bollywood Actor,,,F,low,watch_only,
118,Rajinikanth,India,India,South Indian Actor,rajinikanth,12000000,M,high,collab_candidate,Iconic sunglasses style
119,Kamal Haasan,India,India,South Indian Actor,ikamalhaasan,8000000,M,high,collab_candidate,Wears glasses frequently
120,Vijay,India,India,South Indian Actor,actorvijay,10000000,M,medium,collab_candidate,
121,Ajith Kumar,India,India,South Indian Actor,ajithkumar,5000000,M,high,collab_candidate,Known for stylish sunglasses
122,Dhanush,India,India,South Indian Actor,dhanushkraja,45000000,M,medium,collab_candidate,
123,Suriya,India,India,South Indian Actor,suriya_offl,22000000,M,medium,collab_candidate,
124,Vikram,India,India,South Indian Actor,chiyaan_vikram_official,5000000,M,medium,collab_candidate,
125,Allu Arjun,India,India,South Indian Actor,alluarjun,20000000,M,high,collab_candidate,Signature sunglasses style
126,Mahesh Babu,India,India,South Indian Actor,urstrulymahesh,30000000,M,medium,collab_candidate,
127,Jr NTR,India,India,South Indian Actor,tarak9999,12000000,M,medium,collab_candidate,
128,Ram Charan,India,India,South Indian Actor,alwaysramcharan,15000000,M,medium,collab_candidate,
129,Prabhas,India,India,South Indian Actor,actorprabhas,22000000,M,medium,collab_candidate,
130,Vijay Deverakonda,India,India,South Indian Actor,thedeverakonda,27000000,M,high,collab_candidate,Wears stylish specs/shades frequently
131,Fahadh Faasil,India,India,South Indian Actor,fahadhfaasil,7000000,M,high,collab_candidate,Known for glasses in roles
132,Mohanlal,India,India,South Indian Actor,mohanlal,10000000,M,medium,collab_candidate,
133,Mammootty,India,India,South Indian Actor,mammootty,9000000,M,medium,collab_candidate,
134,Dulquer Salmaan,India,India,South Indian Actor,dqsalmaan,10000000,M,high,collab_candidate,"Stylish, wears glasses"
135,Nivin Pauly,India,India,South Indian Actor,nivinofficial,8000000,M,medium,watch_only,
136,Tovino Thomas,India,India,South Indian Actor,tovinothomas,8000000,M,medium,collab_candidate,
137,Prithviraj Sukumaran,India,India,South Indian Actor,therealprithvi,9000000,M,high,collab_candidate,Wears glasses
138,Jayaram,India,India,South Indian Actor,,,M,low,watch_only,
139,Dileep,India,India,South Indian Actor,,,M,low,watch_only,
140,Jayasurya,India,India,South Indian Actor,,,M,low,watch_only,
141,Asif Ali,India,India,South Indian Actor,,,M,low,watch_only,
142,Nani,India,India,South Indian Actor,nameisnani,5000000,M,medium,watch_only,
143,Rana Daggubati,India,India,South Indian Actor,ranadaggubati,10000000,M,medium,collab_candidate,
144,Karthi,India,India,South Indian Actor,,,M,low,watch_only,
145,Silambarasan,India,India,South Indian Actor,strsimbu,5000000,M,medium,watch_only,
146,Arya,India,India,South Indian Actor,,,M,low,watch_only,
147,Jiiva,India,India,South Indian Actor,,,M,low,watch_only,
148,Vishal,India,India,South Indian Actor,,,M,low,watch_only,
149,Yash,India,India,South Indian Actor,thenameisyash,14000000,M,high,collab_candidate,Signature sunglasses
150,Sudeep,India,India,South Indian Actor,kichchasudeepa,8000000,M,medium,collab_candidate,
151,Rakshit Shetty,India,India,South Indian Actor,,,M,medium,watch_only,
152,Darshan,India,India,South Indian Actor,,,M,low,watch_only,
153,Upendra,India,India,South Indian Actor,,,M,low,watch_only,
154,Puneeth Rajkumar,India,India,South Indian Actor,,,M,medium,style_influence,"Late actor, legacy"
155,Shivarajkumar,India,India,South Indian Actor,,,M,low,watch_only,
156,Nayanthara,India,India,South Indian Actor,nayanthara,8000000,F,high,collab_candidate,Iconic sunglasses
157,Trisha Krishnan,India,India,South Indian Actor,trishakrishnan,12000000,F,medium,collab_candidate,
158,Anushka Shetty,India,India,South Indian Actor,anushkashettyofficial,5000000,F,medium,watch_only,
159,Kajal Aggarwal,India,India,South Indian Actor,kajalaggarwalofficial,40000000,F,medium,collab_candidate,
160,Keerthi Suresh,India,India,South Indian Actor,keerthysureshofficial,8000000,F,medium,collab_candidate,
161,Shruti Haasan,India,India,South Indian Actor,shrutzhaasan,10000000,F,high,collab_candidate,"Wears glasses, musical"
162,Hansika Motwani,India,India,South Indian Actor,iamhansika,9000000,F,medium,watch_only,
163,Rakul Preet Singh,India,India,South Indian Actor,rakulpreet,24000000,F,medium,collab_candidate,
164,Asin,India,India,South Indian Actor,,,F,medium,watch_only,
165,Ileana D'Cruz,India,India,South Indian Actor,ileana_official,14000000,F,medium,watch_only,
166,Regina Cassandra,India,India,South Indian Actor,iamreginacassandra,3000000,F,medium,watch_only,
167,Sai Pallavi,India,India,South Indian Actor,,,F,medium,collab_candidate,
168,Aishwarya Lekshmi,India,India,South Indian Actor,aishwarya_lekshmi_,2000000,F,medium,watch_only,
169,Priya Prakash Varrier,India,India,South Indian Actor,priya.p.varrier,8000000,F,medium,watch_only,
170,Raashi Khanna,India,India,South Indian Actor,raashiikhanna,9000000,F,medium,watch_only,
171,Parvathy Thiruvothu,India,India,South Indian Actor,,,F,medium,watch_only,
172,Manju Warrier,India,India,South Indian Actor,manju.warrier,5000000,F,medium,watch_only,
173,Thambi Ramaiah,India,India,South Indian Actor,,,M,low,watch_only,
174,Sivakarthikeyan,India,India,South Indian Actor,sivakarthikeyan,18000000,M,medium,collab_candidate,
175,Vijay Sethupathi,India,India,South Indian Actor,imvijaysethupathi,3000000,M,high,collab_candidate,Wears glasses often
176,Soori,India,India,South Indian Actor,,,M,low,watch_only,
177,Bobby Simha,India,India,South Indian Actor,,,M,low,watch_only,
178,Venkatesh,India,India,South Indian Actor,,,M,medium,watch_only,
179,Chiranjeevi,India,India,South Indian Actor,chiranjeevikonidela,5000000,M,medium,collab_candidate,
180,Nagarjuna,India,India,South Indian Actor,iamnagarjuna,9000000,M,medium,collab_candidate,
181,Balakrishna,India,India,South Indian Actor,,,M,low,watch_only,
182,Mohan Babu,India,India,South Indian Actor,,,M,low,watch_only,
183,Adivi Sesh,India,India,South Indian Actor,adivisesh,3000000,M,medium,watch_only,
184,Siddharth,India,India,South Indian Actor,worldofsiddharth,2000000,M,medium,watch_only,
185,Arun Vijay,India,India,South Indian Actor,,,M,low,watch_only,
186,Jiva,India,India,South Indian Actor,,,M,low,watch_only,
187,Diljit Dosanjh,India,India,Punjabi Actor/Musician,diljitdosanjh,15000000,M,high,collab_candidate,Famous for turban+sunglasses combo
188,Gippy Grewal,India,India,Punjabi Actor/Musician,gippygrewal,5000000,M,medium,collab_candidate,
189,Ammy Virk,India,India,Punjabi Actor/Musician,ammyvirk,5000000,M,medium,watch_only,
190,Gurnam Bhullar,India,India,Punjabi Actor/Musician,gurnam.bhullar,4000000,M,medium,watch_only,
191,Jassi Gill,India,India,Punjabi Actor/Musician,jassigillofficial,7000000,M,medium,watch_only,
192,Ninja,India,India,Punjabi Actor/Musician,,,M,low,watch_only,
193,Arjan Dhillon,India,India,Punjabi Musician,arjan_dhillon_,6000000,M,medium,watch_only,
194,Sidhu Moosewala,India,India,Punjabi Musician,,,M,medium,style_influence,"Late artist, legacy"
195,Bohemia,India,India,Punjabi Musician,,,M,high,collab_candidate,"Rapper, wears sunglasses"
196,Mankirt Aulakh,India,India,Punjabi Musician,mankirt.aulakh,6000000,M,medium,watch_only,
197,Parmish Verma,India,India,Punjabi Actor/Musician,parmishverma,13000000,M,medium,watch_only,
198,Hardy Sandhu,India,India,Punjabi Musician,hardysandhu,8000000,M,medium,watch_only,
199,Neha Kakkar,India,India,Punjabi Musician,nehakakkar,75000000,F,medium,collab_candidate,
200,Tony Kakkar,India,India,Punjabi Musician,tonykakkar,12000000,M,medium,watch_only,
201,Guru Randhawa,India,India,Punjabi Musician,gururandhawa,15000000,M,high,collab_candidate,Wears glasses frequently
202,Harrdy Sandhu,India,India,Punjabi Musician,hardysandhu,8000000,M,medium,watch_only,
203,Sunanda Sharma,India,India,Punjabi Musician,sunanda_sharma,4000000,F,medium,watch_only,
204,Prosenjit Chatterjee,India,India,Bengali Actor,prosenjit.chatterjee,2000000,M,medium,watch_only,
205,Dev (Bengali),India,India,Bengali Actor,iamdevofficial,2500000,M,medium,watch_only,
206,Jeet,India,India,Bengali Actor,actor_jeet_official,1500000,M,medium,watch_only,
207,Nusrat Jahan,India,India,Bengali Actor,nusratchirps,3500000,F,medium,watch_only,
208,Subhashree Ganguly,India,India,Bengali Actor,subhashree.ganguly.official,2000000,F,medium,watch_only,
209,Ritabhari Chakraborty,India,India,Bengali Actor,ritabhari,2000000,F,medium,watch_only,
210,Srabanti Chatterjee,India,India,Bengali Actor,srabanti.chatterjee.33,2000000,F,medium,watch_only,
211,Ankush Hazra,India,India,Bengali Actor,,,M,low,watch_only,
212,Soham Chakraborty,India,India,Bengali Actor,,,M,low,watch_only,
213,Ritwick Chakraborty,India,India,Bengali Actor,,,M,medium,watch_only,
214,Swastika Mukherjee,India,India,Bengali Actor,,,F,medium,watch_only,
215,Paoli Dam,India,India,Bengali Actor,,,F,medium,watch_only,
216,Indraneil Sengupta,India,India,Bengali Actor,,,M,low,watch_only,
217,Siddharth Chandekar,India,India,Marathi Actor,,,M,low,watch_only,
218,Sonalee Kulkarni,India,India,Marathi Actor,sonaleekulkarni,2000000,F,medium,watch_only,
219,Priya Bapat,India,India,Marathi Actor,,,F,medium,watch_only,
220,Tejaswini Pandit,India,India,Marathi Actor,,,F,low,watch_only,
221,Amruta Khanvilkar,India,India,Marathi Actor,amrutakhanvilkar,1500000,F,medium,watch_only,
222,Jitendra Joshi,India,India,Marathi Actor,,,M,low,watch_only,
223,Virat Kohli,India,India,Cricketer,virat.kohli,270000000,M,high,collab_candidate,"Brand ambassador eyewear, stylish shades"
224,Rohit Sharma,India,India,Cricketer,rohitsharma45,50000000,M,medium,collab_candidate,
225,MS Dhoni,India,India,Cricketer,mahi7781,50000000,M,high,collab_candidate,"Wears sunglasses, cool style"
226,Hardik Pandya,India,India,Cricketer,hardikpandya93,35000000,M,high,collab_candidate,"Fashion-forward cricketer, sunglasses"
227,Jasprit Bumrah,India,India,Cricketer,jaspritb1,25000000,M,medium,collab_candidate,
228,KL Rahul,India,India,Cricketer,klrahul,27000000,M,high,collab_candidate,"Stylish, frequently wears shades"
229,Rishabh Pant,India,India,Cricketer,rishabpant777,20000000,M,medium,collab_candidate,
230,Shubman Gill,India,India,Cricketer,shubmangill,22000000,M,medium,collab_candidate,
231,Ravindra Jadeja,India,India,Cricketer,imjadeja,18000000,M,medium,watch_only,
232,Ravichandran Ashwin,India,India,Cricketer,ashwinravi99,12000000,M,low,watch_only,
233,Yuzvendra Chahal,India,India,Cricketer,yuzi_chahal23,14000000,M,medium,watch_only,
234,Shreyas Iyer,India,India,Cricketer,shreyasiyer15,18000000,M,medium,watch_only,
235,Axar Patel,India,India,Cricketer,akshar2026,9000000,M,low,watch_only,
236,Suryakumar Yadav,India,India,Cricketer,surya_14kumar,20000000,M,medium,watch_only,
237,Sanju Samson,India,India,Cricketer,sanjusamson28,12000000,M,medium,watch_only,
238,Ishan Kishan,India,India,Cricketer,ishankishan23,15000000,M,medium,watch_only,
239,Mohammed Siraj,India,India,Cricketer,m_siraj23,12000000,M,low,watch_only,
240,Mohammed Shami,India,India,Cricketer,mdshami11,12000000,M,medium,watch_only,
241,Dinesh Karthik,India,India,Cricketer,dk00019,7000000,M,medium,watch_only,
242,Sachin Tendulkar,India,India,Cricketer,sachin_rt,36000000,M,medium,collab_candidate,Legend
243,Sourav Ganguly,India,India,Cricketer,souravganguly,8000000,M,medium,watch_only,
244,VVS Laxman,India,India,Cricketer,vvslaxman281,5000000,M,medium,watch_only,
245,Anil Kumble,India,India,Cricketer,,,M,high,collab_candidate,Famous for glasses
246,Kapil Dev,India,India,Cricketer,therealkapildev,5000000,M,medium,watch_only,
247,Sunil Gavaskar,India,India,Cricketer,,,M,medium,watch_only,
248,Smriti Mandhana,India,India,Cricketer,smriti_mandhana,10000000,F,medium,collab_candidate,
249,Mithali Raj,India,India,Cricketer,,,F,low,watch_only,
250,Harmanpreet Kaur,India,India,Cricketer,harmanpreet_kaur,5000000,F,medium,watch_only,
251,Shafali Verma,India,India,Cricketer,shafaliverma09,3000000,F,medium,watch_only,
252,Deepti Sharma,India,India,Cricketer,,,F,low,watch_only,
253,Neeraj Chopra,India,India,Athlete,neerajchopra1,11000000,M,medium,collab_candidate,Olympic gold medalist javelin
254,PV Sindhu,India,India,Athlete,pvsindhu_,6500000,F,medium,collab_candidate,Olympic medalist badminton
255,Sania Mirza,India,India,Athlete,mirzasaniar,16000000,F,high,collab_candidate,"Stylish, wears sunglasses"
256,Sunil Chhetri,India,India,Athlete,chetrisunil11,7000000,M,medium,watch_only,Football
257,Mary Kom,India,India,Athlete,mc_marykom,3500000,F,low,watch_only,Boxing
258,Vinesh Phogat,India,India,Athlete,,,F,low,watch_only,Wrestling
259,Bajrang Punia,India,India,Athlete,bajrangpunia,3000000,M,low,watch_only,Wrestling
260,Mirabai Chanu,India,India,Athlete,mira.bai.chanu,2000000,F,low,watch_only,Weightlifting
261,Sakshi Malik,India,India,Athlete,,,F,low,watch_only,Wrestling
262,Abhinav Bindra,India,India,Athlete,,,M,high,collab_candidate,"Olympic gold medalist shooter, wears glasses"
263,Leander Paes,India,India,Athlete,,,M,medium,watch_only,Tennis
264,Pullela Gopichand,India,India,Athlete,,,M,low,watch_only,Badminton coach
265,Saina Nehwal,India,India,Athlete,nehwalsaina,5000000,F,low,watch_only,Badminton
266,Kidambi Srikanth,India,India,Athlete,,,M,low,watch_only,Badminton
267,Lakshya Sen,India,India,Athlete,lakshyasen_,2000000,M,medium,watch_only,Badminton
268,Rohan Bopanna,India,India,Athlete,,,M,low,watch_only,Tennis
269,Igor Stimac,India,India,Athlete,,,M,medium,watch_only,Football coach
270,Suresh Raina,India,India,Cricketer,sureshraina3,26000000,M,medium,watch_only,
271,Yuvraj Singh,India,India,Cricketer,yuvisofficial,25000000,M,high,collab_candidate,"Stylish cricketer, wears shades"
272,Harbhajan Singh,India,India,Cricketer,harbhajan_singh,12000000,M,medium,watch_only,
273,Shikhar Dhawan,India,India,Cricketer,shikhardofficial,25000000,M,medium,watch_only,
274,Zaheer Khan,India,India,Cricketer,zaheer_khan34,5000000,M,low,watch_only,
275,Irfan Pathan,India,India,Cricketer,irfanpathan,8000000,M,medium,watch_only,
276,Saurav Ganguly,India,India,Cricketer,souravganguly,8000000,M,medium,watch_only,
277,AR Rahman,India,India,Musician,arrahman,12000000,M,high,collab_candidate,"Wears glasses, iconic composer"
278,Arijit Singh,India,India,Musician,arijitsingh,50000000,M,high,collab_candidate,Often wears glasses in performances
279,Shreya Ghoshal,India,India,Musician,shreyaghoshal,37000000,F,medium,collab_candidate,
280,Sonu Nigam,India,India,Musician,sonunigam,10000000,M,medium,watch_only,
281,Udit Narayan,India,India,Musician,,,M,low,watch_only,
282,Kumar Sanu,India,India,Musician,,,M,low,watch_only,
283,Alka Yagnik,India,India,Musician,,,F,low,watch_only,
284,Lata Mangeshkar,India,India,Musician,,,F,low,style_influence,Legacy icon
285,Badshah,India,India,Musician,badboyshah,25000000,M,high,collab_candidate,"Hip-hop, signature sunglasses"
286,Honey Singh,India,India,Musician,yoyohoneysingh,13000000,M,high,collab_candidate,"Rapper, wears shades"
287,Yo Yo Honey Singh,India,India,Musician,yoyohoneysingh,13000000,M,high,collab_candidate,
288,Raftaar,India,India,Musician,raftaarmusic,5000000,M,high,collab_candidate,"Rapper, shades"
289,Divine,India,India,Musician,divinedivinedivine,2000000,M,high,collab_candidate,Mumbai rapper
290,Nucleya,India,India,Musician,,,M,high,collab_candidate,"EDM, signature headgear+shades"
291,Amit Trivedi,India,India,Musician,,,M,medium,watch_only,
292,Shankar Ehsaan Loy,India,India,Musician,,,M,medium,watch_only,
293,Vishal-Shekhar,India,India,Musician,,,M,medium,watch_only,
294,Pritam,India,India,Musician,,,M,medium,watch_only,
295,Daler Mehndi,India,India,Musician,dalermehndi,8000000,M,low,watch_only,Bhangra pop
296,Mika Singh,India,India,Musician,mikasingh,8000000,M,medium,watch_only,
297,Armaan Malik,India,India,Musician,armaanmalik,22000000,M,medium,collab_candidate,
298,Darshan Raval,India,India,Musician,darshanravaldz,10000000,M,medium,watch_only,
299,Jubin Nautiyal,India,India,Musician,jubinnautiyal,13000000,M,medium,watch_only,
300,Asees Kaur,India,India,Musician,aseeskaur,9000000,F,medium,watch_only,
301,Tulsi Kumar,India,India,Musician,tulsikumarofficial,12000000,F,medium,watch_only,
302,Palak Muchhal,India,India,Musician,palakmuchhal3,5000000,F,medium,watch_only,
303,Monali Thakur,India,India,Musician,monalithakur21,4000000,F,medium,watch_only,
