handle,name,country,iso_alpha2,iso_alpha3,region,hq_city,category,subcategory,business_type,business_model,price_tier,founded_year,ownership_type,is_public,stock_ticker,website,domain,instagram_url,linkedin_url,facebook_url,youtube_url,tiktok_handle,instagram_followers,employee_estimate,store_estimate,revenue_usd_estimate,naics_code,sic_code,is_d2c,is_manufacturer,is_retailer,is_luxury,is_smart_eyewear,has_manufacturing,sustainability_focus,description,tags,completeness_pct,confidence_pct,needs_reverification
aframes,Aframes,China,CN,CHN,East Asia,Shenzhen,D2C Eyewear,,D2C Brand,D2C Online,Budget,2018,Private,False,,https://aframes.com,aframes.com,https://instagram.com/aframes,https://www.linkedin.com/company/aframes,,,,15000,,,,454110,5961,False,False,False,False,False,False,False,Chinese D2C eyewear brand.,B2C|Budget|Chinese|D2C|Online-Only,79,65,True
ageeyewear,Age Eyewear,New Zealand,NZ,NZL,Oceania,Auckland,Independent Eyewear,,Brand,Brand,Mid-Premium,2003,Private,False,,https://ageeyewear.com,ageeyewear.com,https://instagram.com/ageeyewear,https://www.linkedin.com/company/age-eyewear,,,,12000,,,,339115,3827,False,False,False,False,False,False,False,"New Zealand independent eyewear. Bold, architectural designs.",Architectural|Bold|Independent|New Zealand,79,65,True
ahlem,Ahlem,France/USA,,,Europe,Paris/LA,Independent Eyewear,,Brand,Brand,Premium,2014,Private,False,,https://ahlemeyewear.com,ahlemeyewear.com,https://instagram.com/ahlem,https://www.linkedin.com/company/ahlem,,,,95000,,,,339115,3827,False,False,False,False,False,True,False,French-Californian eyewear. Handcrafted in France. Minimalist luxury.,Californian|French|Handcrafted|Independent|Luxury|Minimalist,76,65,True
aigan_official,Aigan,Japan,JP,JPN,East Asia,Nagoya,Optical Retail,Optical,Retailer,Retailer,Mid-Range,1961,Private,False,,https://aigan.co.jp,aigan.co.jp,https://instagram.com/aigan_official,https://www.linkedin.com/company/aigan,,,,10000,,,,446130,5995,False,False,True,False,False,False,False,Japanese optical retail chain.,Japanese|Optical Chain|Retailer,79,65,True
ainak.pk,Ainak.pk,Pakistan,PK,PAK,South Asia,Karachi,D2C Eyewear,Optical,D2C Brand,D2C Online,Budget,2019,Private,False,,https://ainak.pk,ainak.pk,https://instagram.com/ainak.pk,https://www.linkedin.com/company/ainak-pk,,,,15000,,,,454110,5961,False,False,False,False,False,False,False,Pakistani D2C eyewear brand.,B2C|Budget|D2C|Pakistani|Startup,79,65,True
akonieyewear,Akoni Group,USA,US,USA,North America,Los Angeles,Luxury Eyewear,,Holding Company,Holding Company,Prestige,2019,Private,False,,https://akoni.com,akoni.com,https://instagram.com/akonieyewear,https://www.linkedin.com/company/akoni-group/,,,,8000,200,,200000000,339115,3827,False,False,False,True,False,False,False,"Luxury eyewear holding company. Owns DITA and produces Valentino, Zegna eyewear.",DITA|Holding Company|LA|Luxury|Valentino,90,65,True
al-dar-optics,Al Dar Optics,,,,Global,,,Both,,,,2000,Private,False,,https://aldaroptics.com,aldaroptics.com,,https://www.linkedin.com/company/al-dar-optics/,,,,,,,,339115,3827,False,False,False,False,False,False,False,"- **Al Dar Optics** — Country: Qatar; HQ: Doha; Founded: 2000; Type: Optical retail chain; Stores: 14 branches; Revenue: n/a; Employees: n/a; Website: [Al Dar Optics](https://aldaroptics.com); Products: contact lenses, sunglasses, branded eyewear, eye test services; Description: Multi-branch Qatar chain offering eye tests and contact lenses. ([Al Dar Optics](https://aldaroptics.com))",,34,50,True
aljaberoptical,Al Jaber Optical,UAE,AE,ARE,Middle East,Abu Dhabi,Optical Retail,Optical,Retailer,Retailer,Mid-Range,1981,Private,False,,https://aljaberoptical.com,aljaberoptical.com,https://instagram.com/aljaberoptical,https://www.linkedin.com/company/aljaber-optical/,,,,50000,,,,446130,5995,False,False,True,False,False,False,False,UAE optical retail chain. Multiple locations across the Emirates.,Middle East|Optical Chain|Retailer|UAE,79,65,True
al-jaber-optics-qatar,Al Jaber Optics (Qatar),,,,Global,,,Both,,,,,Private,False,,https://aljaberoptics.com,aljaberoptics.com,,https://www.linkedin.com/company/aljaber-optics-qatar/,,,,,,,,339115,3827,False,False,False,False,False,False,False,"- **Al Jaber Optics (Qatar)** — Country: Qatar; HQ: Doha; Founded: n/a; Type: Optical retailer + optometry; Stores: n/a; Revenue: n/a; Employees: n/a; Website: [Al Jaber Optics (Qatar)](https://aljaberoptics.com); Products: eyeglasses, sunglasses, lenses; Description: One of Qatar’s established optical retailers per market overview list. ([Eyewearglobo](https://www.eyewearglobo.com/top-20-eyewear-sunglass-brands-in-qatar/))",,31,50,True
al-noor-lens-manufacturing-company,Al Noor Lens Manufacturing Company,,,,Global,,,Sunglasses,,,,2004,Private,False,,https://alnooroptician.com,alnooroptician.com,,https://www.linkedin.com/company/al-noor-lens-manufacturing-company/,,,,,,,,339115,3827,False,False,False,False,False,True,False,"- **Al Noor Lens Manufacturing Company** — Country: Saudi Arabia; HQ: Dammam; Founded: 2004; Type: Ophthalmic lens + contact lens + frames manufacturer (per company profile); Stores: n/a; Revenue: n/a; Employees: 11–50 (profile); Website: [Al Noor (site)](http://www.alnooroptician.com); Products: ophthalmic lenses, contact lenses, frames, sunglasses, accessories; Description: Manufacturer specializing in lenses/coatings and eyewear accessories. ([LinkedIn profile snippet](https://www.linkedin.com/company/al-noor-lens-manufacturing-company))",,34,50,True
alainafflelou,Alain Afflelou,France,FR,FRA,Europe,Paris,Optical Retail Chain,Optical,Retailer/Franchise,Retailer/Franchise,Budget-Mid,1972,Private,False,,https://alainafflelou.com,alainafflelou.com,https://instagram.com/alainafflelou,https://www.linkedin.com/company/alain-afflelou/,https://facebook.com/Afflelou,,,120000,8000,1500,800000000,446130,5995,False,False,False,False,False,False,False,"Major French optical franchise chain. Operates in France, Spain, Portugal, Belgium.",Franchise|French|Global|Large|Optical Chain|Retailer,96,65,True
alainmikli,Alain Mikli,France,FR,FRA,Europe,Paris,Designer Eyewear,,Brand,Brand (EssilorLuxottica),Premium,1978,Private,False,,https://alainmikli.com,alainmikli.com,https://instagram.com/alainmikli,https://www.linkedin.com/company/alain-mikli/,,,,110000,,,,339115,3827,False,False,False,False,False,False,False,"French designer eyewear. Known for bold, artistic designs. Part of EssilorLuxottica.",Artistic|Bold|Designer|EssilorLuxottica|French,79,65,True
maisonalaia,Alaïa Eyewear,France,FR,FRA,Europe,Paris,Luxury Eyewear,,Brand,Licensed (Kering),Premium-Luxury,1980,Private,False,,https://maison-alaia.com,maison-alaia.com,https://instagram.com/maisonalaia,https://www.linkedin.com/company/alaia-eyewear/,,,,1200000,,,,339115,3827,False,False,False,False,False,False,False,French luxury house (Richemont). Eyewear by Kering.,French|Kering|Luxury|Richemont,79,65,True
alcon,Alcon,Switzerland,CH,CHE,Europe,Geneva,Contact Lens/Eye Care,,Manufacturer,Manufacturer,Premium,1945,Public,True,ALC,https://alcon.com,alcon.com,https://instagram.com/alcon,https://www.linkedin.com/company/alcon/,https://facebook.com/AlconEyeCare,https://youtube.com/@Alcon,,35000,25000,,9800000000,339115,3827,False,True,False,False,False,True,False,"Global leader in eye care. Products include contact lenses (Dailies, Air Optix), surgical equipment, and vision care.",Contact Lens|Eye Care|Global|Medical|Public Company,96,75,True
alexandermcqueen,Alexander McQueen Eyewear,UK,GB,GBR,Europe,London,Fashion Eyewear,,Brand,Licensed (Kering),Premium-Luxury,1992,Private,False,,https://alexandermcqueen.com,alexandermcqueen.com,https://instagram.com/alexandermcqueen,https://www.linkedin.com/company/alexander-mcqueen/,,,,4500000,,,,339115,3827,False,False,False,False,False,False,False,British luxury house. Eyewear by Kering Eyewear.,British|Fashion|Kering|Luxury,79,65,True
allsaints,AllSaints Eyewear,UK,GB,GBR,Europe,London,Fashion Eyewear,,Brand,Licensed,Mid-Range,1994,Private,False,,https://allsaints.com,allsaints.com,https://instagram.com/allsaints,https://www.linkedin.com/company/allsaints/,,,,1100000,,,,339115,3827,False,False,False,False,False,False,False,British rock fashion brand. Eyewear extension.,Fashion|Licensed|Rock|UK,79,65,True
altair-eyewear,Altair Eyewear,USA,US,USA,North America,"Melville, NY",Manufacturer/Distributor,,Distributor,Distributor (Marchon),Mid-Range,1983,Private,False,,https://altaireyewear.com,altaireyewear.com,,https://www.linkedin.com/company/altaireyewear/,,,,,,,,339115,3827,False,False,False,False,False,False,False,US eyewear distributor. Part of Marchon/VSP.,American|Distributor|Marchon|VSP,72,50,True
al-ibsar-medical,Al‑Ibsar Medical,,,,Global,,,Optical,,,,2025,Private,False,,https://alibsarmedical.com,alibsarmedical.com,,https://www.linkedin.com/company/al-ibsar-medical/,,,,,,,,339115,3827,False,False,False,False,False,False,False,"- **Al‑Ibsar Medical** — Country: Saudi Arabia; HQ: Riyadh; Founded: >15 years ago; Type: Medical optics distributor; Stores: n/a; Revenue: n/a; Employees: n/a; Website: [Al‑Ibsar Medical](https://www.alibsarmedical.com); Products: ophthalmic instruments, prescription lenses, medical eyewear; Description: Supplies ophthalmology/optometry equipment and corrective lenses to clinics/hospitals. ([Eyewearglobo](https://www.eyewearglobo.com/top-20-eyewear-companies-in-saudi-arabia-for-b2b-buyers-2025/))",,34,50,True
al-jamil-optical-co,Al‑Jamil Optical Co.,,,,Global,,,Both,,,,1982,Private,False,,https://kw.aljamiloptical.com,kw.aljamiloptical.com,,https://www.linkedin.com/company/aljamiloptical/,,,,,,,,339115,3827,False,False,False,False,False,False,False,"- **Al‑Jamil Optical Co.** — Country: Kuwait; HQ: Kuwait; Founded: 1982; Type: Optical retail + wholesale; Stores: 17+ locations; Revenue: n/a; Employees: n/a; Website: [Al‑Jamil Optical](https://kw.aljamiloptical.com/en/page/about-us); Products: sunglasses/frames, ophthalmic lenses, contact lenses, eye drops; Description: Kuwait chain serving retail and wholesale with 17+ locations and online store. ([Al‑Jamil Optical](https://kw.aljamiloptical.com/en/page/about-us))",,34,50,True
framesbuy,AM Eyewear,Australia,AU,AUS,Oceania,Melbourne,Independent Eyewear,Both,D2C Brand,D2C Online,Mid-Range,2010,Private,False,,https://framesbuy.com.au,framesbuy.com.au,https://instagram.com/framesbuy,https://www.linkedin.com/company/am-eyewear/,,,,10000,,,,454110,5961,False,False,False,False,False,False,False,Australian online eyewear retailer. Affordable prescription glasses.,Australian|B2C|Budget|D2C|Online-Only,79,65,True
amazon,Amazon Echo Frames,USA,US,USA,North America,Seattle,Smart Eyewear,,Tech Company,Tech/Brand,Mid-Range,1994,Private,False,,https://amazon.com,amazon.com,https://instagram.com/amazon,https://www.linkedin.com/company/amazon/,,,,5000000,,,,334220,3669,False,False,False,False,True,False,False,Amazon's Alexa-enabled smart glasses. Open-ear audio.,AI|Alexa|Amazon|Smart Eyewear|Tech,79,65,True
ambreyewear,Ambr Eyewear,UK,GB,GBR,Europe,London,D2C Eyewear,,D2C Brand,D2C Online,Budget-Mid,2018,Private,False,,https://ambreyewear.com,ambreyewear.com,https://instagram.com/ambreyewear,https://www.linkedin.com/company/ambr-eyewear/,,,,15000,,,,454110,5961,False,False,False,False,False,False,False,UK D2C blue light blocking glasses brand.,B2C|Blue Light|D2C|Digital Wellness|UK,79,65,True
americasbestcontacts,America's Best,USA,US,USA,North America,"Duluth, GA",Optical Retail,Optical,Retailer,Retailer (National Vision),Budget,1978,Private,False,,https://americasbest.com,americasbest.com,https://instagram.com/americasbestcontacts,https://www.linkedin.com/company/americas-best/,,,,70000,,,,446130,5995,False,False,True,False,False,False,False,US budget optical chain. Part of National Vision.,American|Budget|National Vision|Retailer,79,65,True
aoeyewear,American Optical (AO),USA,US,USA,North America,"Southbridge, MA",Heritage Eyewear,Sunglasses,Brand/Manufacturer,Brand/Manufacturer,Mid-Range,1833,Private,False,,https://aoeyewear.com,aoeyewear.com,https://instagram.com/aoeyewear,https://www.linkedin.com/company/american-optical/,,,,90000,,,,339115,3827,False,False,False,False,False,True,False,America's oldest eyewear brand. Original Aviator. NASA moon landing glasses.,100+ Years|American|Aviator|Brand|Heritage|Manufacturer|NASA,79,65,True
andywolfeyewear,Andy Wolf,Austria,AT,AUT,Europe,Hartberg,Independent Eyewear,,Independent Brand,Brand/Manufacturer,Mid-Premium,2006,Private,False,,https://andy-wolf.com,andy-wolf.com,https://instagram.com/andywolfeyewear,https://www.linkedin.com/company/andy-wolf/,https://facebook.com/AndyWolfEyewear,,,85000,100,,20000000,339115,3827,False,False,False,False,False,True,True,"Austrian independent eyewear. Handmade in Austria. Bold, colorful designs.",Austrian|Bold|Colorful|Handmade|Independent|Sustainable,93,65,True
anfao,ANFAO,Italy,IT,ITA,Europe,Padova,Industry Association,,Association,Association,,1960,Private,False,,https://anfao.it,anfao.it,https://instagram.com/anfao,https://www.linkedin.com/company/anfao/,,,,12000,,,,339115,3827,False,False,False,False,False,True,False,Italian eyewear manufacturers association. Organizes MIDO.,Association|Industry|Italian|MIDO,74,65,True
anneetvalentin,Anne et Valentin,France,FR,FRA,Europe,Toulouse,Independent Eyewear,,Independent Brand,Brand,Premium,1980,Private,False,,https://anneetvalentin.com,anneetvalentin.com,https://instagram.com/anneetvalentin,https://www.linkedin.com/company/anne-et-valentin/,https://facebook.com/AnneEtValentin,,,45000,50,,15000000,339115,3827,False,False,False,False,False,False,False,"French independent eyewear. Artistic, colorful designs. 40+ years of independent craftsmanship.",Artistic|Colorful|French|Heritage|Independent,91,65,True
anneklein,Anne Klein Eyewear,USA,US,USA,North America,New York,Fashion Eyewear,,Brand,Licensed (Marchon),Mid-Range,1968,Private,False,,https://anneklein.com,anneklein.com,https://instagram.com/anneklein,https://www.linkedin.com/company/anne-klein/,,,,90000,,,,339115,3827,False,False,False,False,False,False,False,American women's fashion brand. Eyewear by Marchon.,American|Fashion|Marchon|Women,79,65,True
aojo_eyewear,Aojo (AOJO),China,CN,CHN,East Asia,Guangzhou,D2C Eyewear,Optical,D2C Brand/Retailer,D2C / Retail,Budget-Mid,2012,Private,False,,https://aojo.com,aojo.com,https://instagram.com/aojo_eyewear,https://www.linkedin.com/company/aojo/,,,,35000,1000,300,100000000,446130,5995,False,False,False,False,False,False,False,Chinese fast-fashion eyewear chain targeting young consumers.,B2C|Chain|Chinese|D2C|Fast Fashion|Retail,90,65,True
apollooptik,Apollo-Optik,Germany,DE,DEU,Europe,Schwabach,Optical Retail Chain,Optical,Retailer,Retail Chain,Budget-Mid,1972,Private,False,,https://apollo.de,apollo.de,https://instagram.com/apollooptik,https://www.linkedin.com/company/apollo-optik/,https://facebook.com/ApolloOptik,,,150000,6000,900,800000000,446130,5995,False,False,True,False,False,False,False,One of Germany's largest optical retail chains. Part of GrandVision/EssilorLuxottica.,EssilorLuxottica|German|Optical Chain|Retailer,97,65,True
aqualens,Aqualens,India,IN,IND,South Asia,Gurugram,Contact Lens,,D2C Brand,D2C (Lenskart),Budget,2016,Private,False,,https://aqualens.in,aqualens.in,https://instagram.com/aqualens,https://www.linkedin.com/company/aqualens/,,,,50000,,,,339115,3851,False,False,False,False,False,False,False,Lenskart's contact lens brand. Affordable daily and monthly lenses.,Affordable|B2C|Contact Lens|D2C|Indian|Lenskart,79,65,True
arlowolf,Arlo Wolf,UK,GB,GBR,Europe,London,D2C Eyewear,Optical,D2C Brand,D2C Online,Budget-Mid,2016,Private,False,,https://arlowolf.com,arlowolf.com,https://instagram.com/arlowolf,https://www.linkedin.com/company/arlo-wolf/,,,,20000,,,,454110,5961,False,False,False,False,False,False,False,UK D2C affordable eyewear.,B2C|Budget|D2C|UK,79,65,True
arnette,Arnette,USA,US,USA,North America,Los Angeles,Sports/Youth Eyewear,Sunglasses,Brand,Brand (EssilorLuxottica),Budget,1992,Private,False,,https://arnette.com,arnette.com,https://instagram.com/arnette,https://www.linkedin.com/company/arnette/,,,,120000,,,,339920,3949,False,False,False,False,False,False,False,Youth action sports sunglasses. Part of EssilorLuxottica.,American|Budget|EssilorLuxottica|Sports|Youth,79,65,True
arueyewear,Aru Eyewear,Italy,IT,ITA,Europe,Sardinia,Independent Eyewear,,Brand,Brand,Mid-Premium,2017,Private,False,,https://arueyewear.com,arueyewear.com,https://instagram.com/arueyewear,https://www.linkedin.com/company/arueyewear/,,,,5000,,,,339115,3827,False,False,False,False,False,False,False,Italian eyewear from Sardinia. Mediterranean inspiration.,Independent|Italian|Mediterranean|Sardinia,79,65,True
asdaopticians,Asda Opticians,UK,GB,GBR,Europe,Leeds,Optical Retail,Optical,Retailer,Retailer (Asda/Walmart),Budget,1999,Private,False,,https://opticians.asda.com,opticians.asda.com,https://instagram.com/asdaopticians,https://www.linkedin.com/company/asda-opticians/,,,,12000,,,,446130,5995,False,False,True,False,False,False,False,UK budget optical chain in Asda supermarkets.,Budget|Retailer|Supermarket|UK,79,65,True
aspinaloflondon,Aspinal of London Eyewear,UK,GB,GBR,Europe,London,Luxury Eyewear,,Brand,Licensed,Mid-Premium,2001,Private,False,,https://aspinaloflondon.com,aspinaloflondon.com,https://instagram.com/aspinaloflondon,https://www.linkedin.com/company/aspinal-of-london/,,,,35000,,,,339115,3827,False,False,False,False,False,False,False,British luxury accessories brand. Eyewear extension.,Fashion|Licensed|Luxury|UK,79,65,True
atelier971,Atelier 971,France,FR,FRA,Europe,Oyonnax,Independent Eyewear,,Brand,Brand,Mid-Premium,2020,Private,False,,https://atelier971.com,atelier971.com,https://instagram.com/atelier971,https://www.linkedin.com/company/atelier-971/,,,,5000,,,,339115,3827,False,False,False,False,False,False,False,French sustainable eyewear from Oyonnax (eyewear capital).,French|Independent|Oyonnax|Sustainable,79,65,True
atol_lesopticiens,Atol,France,FR,FRA,Europe,Beaune,Optical Retail,Optical,Retailer/Cooperative,Cooperative,Mid-Range,1970,Cooperative,False,,https://atol.fr,atol.fr,https://instagram.com/atol_lesopticiens,https://www.linkedin.com/company/atol/,,,,18000,,,,446130,5995,False,False,False,False,False,True,False,French optical retail cooperative. 800+ stores. Made in France focus.,Cooperative|French|Made in France|Retailer,79,65,True
aynai-optical,Aynai Optical,,,,Global,,,Optical,,,,2025,Private,False,,https://aynai.sa,aynai.sa,,https://www.linkedin.com/company/aynai-optical/,,,,,,,,339115,3827,False,False,False,False,False,True,False,"- **Aynai Optical** — Country: Saudi Arabia; HQ: Jeddah; Founded: >10 years ago; Type: Manufacturer + wholesaler + retailer; Stores: 10+ branches; Revenue: n/a; Employees: n/a; Website: [Aynai](https://www.aynai.sa); Products: prescription lenses, medical glasses, optical frames; Description: Saudi-based optical manufacturer with in-house prescription lens production and B2B support for clinics/hospitals. ([Eyewearglobo](https://www.eyewearglobo.com/top-20-eyewear-companies-in-saudi-arabia-for-b2b-buyers-2025/))",,34,50,True
babiators,Babiators,USA,US,USA,North America,New York,Kids Eyewear,Sunglasses,D2C Brand,D2C/Wholesale,Budget-Mid,2011,Private,False,,https://babiators.com,babiators.com,https://instagram.com/babiators,https://www.linkedin.com/company/babiators/,,,,85000,,,,454110,5961,False,False,False,False,False,False,False,"Children's sunglasses brand. Flexible, durable frames. Lost & Found guarantee.",B2C|Children|D2C|Guarantee|Kids|Sunglasses,79,65,True
baileynelson,Bailey Nelson,Australia,AU,AUS,Oceania,Sydney,D2C Eyewear,Both,D2C Brand/Retailer,D2C / Omnichannel,Mid-Range,2012,Private,False,,https://baileynelson.com,baileynelson.com,https://instagram.com/baileynelson,https://www.linkedin.com/company/bailey-nelson/,https://facebook.com/BaileyNelson,,,90000,300,30,30000000,446130,5995,False,False,False,False,False,False,True,"Australian D2C eyewear brand with stores in Australia, NZ, and Canada.",Australian|B2C|D2C|Omnichannel|Sustainable,96,65,True
bajiosunglasses,Bajio Sunglasses,USA,US,USA,North America,"Austin, TX",Sports Eyewear,Sunglasses,D2C Brand,Brand,Mid-Premium,2020,Private,False,,https://bajiosunglasses.com,bajiosunglasses.com,https://instagram.com/bajiosunglasses,https://www.linkedin.com/company/bajio-sunglasses/,,,,50000,,,,454110,5961,False,False,False,False,False,False,False,Fishing sunglasses. Glass lenses. Sustainable.,American|Fishing|Glass Lens|Sports|Sustainable,79,65,True
balenciaga,Balenciaga Eyewear,France,FR,FRA,Europe,Paris,Luxury Eyewear,Sunglasses,Fashion House,Kering Eyewear,Luxury,1919,Private,False,,https://balenciaga.com,balenciaga.com,https://instagram.com/balenciaga,https://www.linkedin.com/company/balenciaga/,https://facebook.com/Balenciaga,,balenciaga,35000000,,,,339115,3827,False,False,False,True,False,False,False,French luxury house. Eyewear produced by Kering Eyewear.,Fashion House|French|Kering|Luxury,87,65,True
